100m_u-component_of_wind,100u
precipitation_type,ptype
relative_humidity,r
runoff,ro
sea-ice_cover,ci
sea_surface_temperature,sst
significant_height_of_combined_wind_waves_and_swell,swh
significant_height_of_total_swell,shts
significant_height_of_wind_waves,shww
significant_wave_height_of_first_swell_partition,swh1
significant_wave_height_of_second_swell_partition,swh2
significant_wave_height_of_third_swell_partition,swh3
skin_reservoir_content,src
skin_temperature,skt
slope_of_sub_gridscale_orography,slor
snow_albedo,asn
snow_density,rsn
snow_depth,sd
snow_evaporation,es
snowfall,sf
snowmelt,smlt
soil_temperature_level_1,stl1
soil_temperature_level_2,stl2
soil_temperature_level_3,stl3
soil_temperature_level_4,stl4
soil_type,slt
specific_cloud_ice_water_content,ciwc
specific_cloud_liquid_water_content,clwc
specific_humidity,q
specific_rain_water_content,crwc
specific_snow_water_content,cswc
standard_deviation_of_filtered_subgrid_orography,sdfor
standard_deviation_of_orography,sdor
sub_surface_runoff,ssro
surface_latent_heat_flux,slhf
surface_net_solar_radiation_clear_sky,ssrc
surface_net_solar_radiation,ssr
surface_net_thermal_radiation_clear_sky,strc
surface_net_thermal_radiation,str
surface_pressure,sp
surface_runoff,sro
surface_sensible_heat_flux,sshf
surface_solar_radiation_downward_clear_sky,ssrdc
surface_solar_radiation_downwards,ssrd
surface_thermal_radiation_downward_clear_sky,strdc
surface_thermal_radiation_downwards,strd
temperature_of_snow_layer,tsn
temperature,t
toa_incident_solar_radiation,tisr
top_net_solar_radiation_clear_sky,tsrc
top_net_solar_radiation,tsr
top_net_thermal_radiation_clear_sky,ttrc
top_net_thermal_radiation,ttr
total_cloud_cover,tcc
total_column_cloud_ice_water,tciw
total_column_cloud_liquid_water,tclw
total_column_ozone,tco3
total_column_rain_water,tcrw
total_column_snow_water,tcsw
total_column_supercooled_liquid_water,tcslw
total_column_water,tcw
total_column_water_vapour,tcwv
total_precipitation,tp
total_sky_direct_solar_radiation_at_surface,fdir
total_totals_index,totalx
trapping_layer_base_height,tplb
trapping_layer_top_height,tplt
type_of_high_vegetation,tvh
type_of_low_vegetation,tvl
u_component_of_wind,u
u_component_stokes_drift,ust
uv_visible_albedo_for_diffuse_radiation,aluvd
uv_visible_albedo_for_diffuse_radiation,aluvd
uv_visible_albedo_for_direct_radiation,aluvp
uv_visible_albedo_for_direct_radiation,aluvp
v_component_of_wind,v
v_component_stokes_drift,vst
vertical_integral_of_divergence_of_cloud_frozen_water_flux,viiwd
vertical_integral_of_divergence_of_cloud_liquid_water_flux,vilwd
vertical_integral_of_divergence_of_geopotential_flux,vigd
vertical_integral_of_divergence_of_kinetic_energy_flux,viked
vertical_integral_of_divergence_of_mass_flux,vimad
vertical_integral_of_divergence_of_moisture_flux,viwvd
vertical_integral_of_divergence_of_ozone_flux,viozd
vertical_integral_of_divergence_of_thermal_energy_flux,vithed
vertical_integral_of_divergence_of_total_energy_flux,vitoed
vertical_integral_of_eastward_cloud_frozen_water_flux,viiwe
vertical_integral_of_eastward_cloud_liquid_water_flux,vilwe
vertical_integral_of_eastward_geopotential_flux,vige
vertical_integral_of_eastward_heat_flux,vithee
vertical_integral_of_eastward_kinetic_energy_flux,vikee
vertical_integral_of_eastward_mass_flux,vimae
vertical_integral_of_eastward_ozone_flux,vioze
vertical_integral_of_eastward_total_energy_flux,vitoee
vertical_integral_of_eastward_water_vapour_flux,viwve
vertical_integral_of_energy_conversion,viec
vertical_integral_of_kinetic_energy,vike
vertical_integral_of_mass_of_atmosphere,vima
vertical_integral_of_mass_tendency,vimat
vertical_integral_of_northward_cloud_frozen_water_flux,viiwn
vertical_integral_of_northward_cloud_liquid_water_flux,vilwn
vertical_integral_of_northward_geopotential_flux,vign
vertical_integral_of_northward_heat_flux,vithen
vertical_integral_of_northward_kinetic_energy_flux,viken
vertical_integral_of_northward_mass_flux,viman
vertical_integral_of_northward_ozone_flux,viozn
vertical_integral_of_northward_total_energy_flux,vitoen
vertical_integral_of_northward_water_vapour_flux,viwvn
vertical_integral_of_potential_and_internal_energy,vipie
vertical_integral_of_potential_internal_and_latent_energy,vipile
vertical_integral_of_temperature,vit
vertical_integral_of_thermal_energy,vithe
vertical_integral_of_total_energy,vitoe
vertically_integrated_moisture_divergence,vimd
vertical_velocity,w
volumetric_soil_water_layer_1,swvl1
volumetric_soil_water_layer_2,swvl2
volumetric_soil_water_layer_3,swvl3
volumetric_soil_water_layer_4,swvl4
vorticity,vo
wave_spectral_directional_width_for_swell,dwps
wave_spectral_directional_width_for_wind_waves,dwww
wave_spectral_directional_width,wdw
wave_spectral_skewness,wss
zero_degree_level,deg0l
